Caso;s1;s2;Tiempo (microsegundos);Respuesta
100;vndgpzfjhzm;qgeicwoaixk;2711278;20
100;vndgpzfjhzm;qgeicwoaixk;2708302;20
100;vndgpzfjhzm;qgeicwoaixk;2713350;20
100;vndgpzfjhzm;qgeicwoaixk;2718499;20
100;vndgpzfjhzm;qgeicwoaixk;2769395;20
100;vndgpzfjhzm;qgeicwoaixk;2747577;20
100;vndgpzfjhzm;qgeicwoaixk;2759367;20
100;vndgpzfjhzm;qgeicwoaixk;2750312;20
100;vndgpzfjhzm;qgeicwoaixk;2720324;20
100;vndgpzfjhzm;qgeicwoaixk;2722409;20
